"Date","year","month","Local.Site.Name","County","meanlatitude","meanlongitude","PM2.5","Ozone"
2024-01-01,2024,1,"Bryson City","Swain",35.434767,-83.442133,43,NA
2024-01-01,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,44.5,NA
2024-01-01,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,47.5,NA
2024-01-01,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,61,NA
2024-01-01,2024,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,14,NA
2024-01-01,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,42,28
2024-01-01,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,48,NA
2024-01-01,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,38,NA
2024-01-01,2024,1,"Linville Falls","Avery",35.972347,-81.933072,14,NA
2024-01-01,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,53,NA
2024-01-01,2024,1,"Millbrook School","Wake",35.856111,-78.574167,61.5,25
2024-01-01,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,46,NA
2024-01-01,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,46,NA
2024-01-02,2024,1,"Bryson City","Swain",35.434767,-83.442133,21,NA
2024-01-02,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,20.5,NA
2024-01-02,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,37,NA
2024-01-02,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,49,NA
2024-01-02,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,32,23
2024-01-02,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,33,NA
2024-01-02,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,18,NA
2024-01-02,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,33,NA
2024-01-02,2024,1,"Millbrook School","Wake",35.856111,-78.574167,32,23
2024-01-02,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,12,NA
2024-01-02,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,19,NA
2024-01-03,2024,1,"Bryson City","Swain",35.434767,-83.442133,34,NA
2024-01-03,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,42,NA
2024-01-03,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,58,NA
2024-01-03,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,59,NA
2024-01-03,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,52,21
2024-01-03,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,56,NA
2024-01-03,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,41,NA
2024-01-03,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,55,NA
2024-01-03,2024,1,"Millbrook School","Wake",35.856111,-78.574167,54,21
2024-01-03,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,52,NA
2024-01-03,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,54,NA
2024-01-04,2024,1,"Bryson City","Swain",35.434767,-83.442133,31,NA
2024-01-04,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,50.5,NA
2024-01-04,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,32,NA
2024-01-04,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,55,NA
2024-01-04,2024,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,16,NA
2024-01-04,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,33,29
2024-01-04,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,28,NA
2024-01-04,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,38,NA
2024-01-04,2024,1,"Linville Falls","Avery",35.972347,-81.933072,13,NA
2024-01-04,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,31,NA
2024-01-04,2024,1,"Millbrook School","Wake",35.856111,-78.574167,36.5,28
2024-01-04,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,39,NA
2024-01-04,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,40,NA
2024-01-05,2024,1,"Bryson City","Swain",35.434767,-83.442133,45,NA
2024-01-05,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,34.5,NA
2024-01-05,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,54,NA
2024-01-05,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,58,NA
2024-01-05,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,35,25
2024-01-05,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,46,NA
2024-01-05,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,21,NA
2024-01-05,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,51,NA
2024-01-05,2024,1,"Millbrook School","Wake",35.856111,-78.574167,34,30
2024-01-05,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,25,NA
2024-01-05,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,24,NA
2024-01-06,2024,1,"Bryson City","Swain",35.434767,-83.442133,16,NA
2024-01-06,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,29,NA
2024-01-06,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,48,NA
2024-01-06,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,54,NA
2024-01-06,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,23,21
2024-01-06,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,51,NA
2024-01-06,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,25,NA
2024-01-06,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,48,NA
2024-01-06,2024,1,"Millbrook School","Wake",35.856111,-78.574167,34,24
2024-01-06,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,18,NA
2024-01-06,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,20,NA
2024-01-07,2024,1,"Bryson City","Swain",35.434767,-83.442133,8,NA
2024-01-07,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,22,NA
2024-01-07,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,23.5,NA
2024-01-07,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,42,NA
2024-01-07,2024,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,6,NA
2024-01-07,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,15,31
2024-01-07,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,23,NA
2024-01-07,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,11,NA
2024-01-07,2024,1,"Linville Falls","Avery",35.972347,-81.933072,5,NA
2024-01-07,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,24,NA
2024-01-07,2024,1,"Millbrook School","Wake",35.856111,-78.574167,18.5,30
2024-01-07,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,8,NA
2024-01-07,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,13,NA
2024-01-08,2024,1,"Bryson City","Swain",35.434767,-83.442133,17,NA
2024-01-08,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,23,NA
2024-01-08,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,27,NA
2024-01-08,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,49,NA
2024-01-08,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,24,29
