"CAS Number","Chemical Name","Species Common Name","Effect","Effect Measurement","Endpoint","Year","Records","Citation"
"111988499","Thiacloprid","Alfalfa Leafcutter Bee","Mortality","Mortality","LD50","2019","1","Hayward,A., K. Beadle, K.S. Singh, N. Exeler, M. Zaworra, M.T. Almanza, A. Nikolakis, C. Garside, J. Glaubitz, C. Bass, (2019). The Leafcutter Bee, Megachile rotundata, is More Sensitive to N-Cyanoamidine Neonicotinoid and Butenolide Insecticides Than Other Managed Bees. Nat. Ecol. Evol., 3, (11), 1521-1524. doi:10.1038/s41559-019-1011-2. ECOREF#:191068"
"111988499","Thiacloprid","Aphid","Population","Abundance","LOEL","2015","3","Chaudhari,A.J., D.M. Korat, and M.R. Dabhi (2015). Bio-Efficacy of Newer Insecticides Against Major Insect Pests of Indian Bean, Lablab purpureus L. L. Krishna Naik, 28, (4), 616-619. ECOREF#:187435"
"111988499","Thiacloprid","Asian Citrus Psyllid","Population","Abundance","LOEL","2018","7","Khan,A., S. Shah, M. Zaman, and K. Habib (2018). Management of Asian Citrus Psyllids, Diaphorina citri Kuwayama, the Direct and Vector Pest of Citrus Via Synthetic Insecticides in Khyber Pakhtunkhwa, Pakistan. Pak. J. Agric. Res., 31, (4), 300-305. ECOREF#:184501"
"111988499","Thiacloprid","Asian Citrus Psyllid","Population","Abundance","NOEL","2018","1","Khan,A., S. Shah, M. Zaman, and K. Habib (2018). Management of Asian Citrus Psyllids, Diaphorina citri Kuwayama, the Direct and Vector Pest of Citrus Via Synthetic Insecticides in Khyber Pakhtunkhwa, Pakistan. Pak. J. Agric. Res., 31, (4), 300-305. ECOREF#:184501"
"111988499","Thiacloprid","Asian Lady Beetle","Mortality","Mortality","NR-LETH","2020","1","Holy,K., and J. Stara (2020). Laboratory Evaluation of the Effect of Insecticides on Chrysoperla carnea (Neuroptera: Chrysopidae), Forficula auricularia (Dermaptera: Forficulidae), Adalia bipunctata (Coleoptera: Coccinellidae) and Harmonia axyridis . Acta Univ. Agric. Silvic. Mend. Brun., 68, (3), 497-506. doi:10.11118/actaun202068030497. ECOREF#:185343"
"111988499","Thiacloprid","Asian Lady Beetle","Population","Abundance","NOEL","2018","2","Ding,J.F., H. Li, Z.Q. Zhang, J. Lin, F. Liu, and W. Mu (2018). Thiamethoxam, Clothianidin, and Imidacloprid Seed Treatments Effectively Control Thrips on Corn Under Field Conditions. J. Insect Sci., 18, (6), 8 p. doi:10.1093/jisesa/iey128. ECOREF#:183605"
"111988499","Thiacloprid","Asiatic Honey Bee","Behavior","Accuracy of learned task, performance","LOEL","2023","2","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Behavior","Accuracy of learned task, performance","NOEL","2023","6","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Behavior","Acquired task","LOEL","2023","1","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Behavior","Acquired task","NOEL","2023","5","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Behavior","Distance moved, change in direct movement","NOEL","2023","8","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Enzyme(s)","Acetylcholinesterase","NOEL","2023","8","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Enzyme(s)","Carboxylesterase","LOEL","2023","3","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Enzyme(s)","Carboxylesterase","NOEL","2023","5","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Enzyme(s)","Cytochrome P-450","LOEL","2023","7","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Enzyme(s)","Cytochrome P-450","NOEL","2023","1","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
